Time_ns,QueueLength,Event
15610,84888,Dequ
15611,0,Recv
15612,84888,Enqu
15695,85936,Enqu
15777,85936,Dequ
15778,85936,Enqu
15778,0,Recv
15861,86984,Enqu
15944,88032,Enqu
15944,88032,Dequ
15945,0,Recv
16027,88032,Enqu
16110,89080,Enqu
16111,89080,Dequ
16112,0,Recv
16193,89080,Enqu
16276,90128,Enqu
16278,90128,Dequ
16279,0,Recv
16359,90128,Enqu
16442,91176,Enqu
16445,91176,Dequ
16446,0,Recv
16525,91176,Enqu
16608,92224,Enqu
16612,92224,Dequ
16613,0,Recv
16691,92224,Enqu
16774,93272,Enqu
16779,93272,Dequ
16780,0,Recv
16857,93272,Enqu
16940,94320,Enqu
16946,94320,Dequ
16947,0,Recv
17023,94320,Enqu
17106,95368,Enqu
17113,95368,Dequ
17114,0,Recv
17189,95368,Enqu
17272,96416,Enqu
17280,96416,Dequ
17281,0,Recv
17355,96416,Enqu
17438,97464,Enqu
17447,97464,Dequ
17448,0,Recv
17521,97464,Enqu
17604,98512,Enqu
17614,98512,Dequ
17615,0,Recv
17687,98512,Enqu
17770,99560,Enqu
17781,99560,Dequ
17782,0,Recv
17853,99560,Enqu
17936,100608,Enqu
17948,100608,Dequ
17949,0,Recv
18019,100608,Enqu
18102,101656,Enqu
18115,101656,Dequ
18116,0,Recv
18185,101656,Enqu
18268,102704,Enqu
18282,102704,Dequ
18283,0,Recv
18351,102704,Enqu
18434,103752,Enqu
18449,103752,Dequ
18450,0,Recv
18517,103752,Enqu
18600,104800,Enqu
18616,104800,Dequ
18617,0,Recv
18683,104800,Enqu
18766,105848,Enqu
18783,105848,Dequ
18784,0,Recv
18849,105848,Enqu
18932,106896,Enqu
18950,106896,Dequ
18951,0,Recv
19015,106896,Enqu
19098,107944,Enqu
19117,107944,Dequ
19118,0,Recv
19181,107944,Enqu
19264,108992,Enqu
19284,108992,Dequ
19285,0,Recv
19347,108992,Enqu
19430,110040,Enqu
19451,110040,Dequ
19452,0,Recv
19513,110040,Enqu
19596,111088,Enqu
19618,111088,Dequ
19619,0,Recv
19679,111088,Enqu
19762,112136,Enqu
19785,112136,Dequ
19786,0,Recv
19845,112136,Enqu
19928,113184,Enqu
19952,113184,Dequ
19953,0,Recv
20011,113184,Enqu
20094,114232,Enqu
20119,114232,Dequ
20120,0,Recv
20177,114232,Enqu
20260,115280,Enqu
20286,115280,Dequ
20287,0,Recv
20343,115280,Enqu
20426,116328,Enqu
20453,116328,Dequ
20454,0,Recv
20509,116328,Enqu
20592,117376,Enqu
20620,117376,Dequ
20621,0,Recv
20675,117376,Enqu
20758,118424,Enqu
20787,118424,Dequ
20788,0,Recv
20841,118424,Enqu
20924,119472,Enqu
20954,119472,Dequ
20955,0,Recv
21007,119472,Enqu
21090,120520,Enqu
21121,120520,Dequ
21122,0,Recv
21173,120520,Enqu
21256,121568,Enqu
21288,121568,Dequ
21289,0,Recv
21339,121568,Enqu
21422,122616,Enqu
21455,122616,Dequ
21456,0,Recv
21505,122616,Enqu
21588,123664,Enqu
21622,123664,Dequ
21623,0,Recv
21671,123664,Enqu
21754,124712,Enqu
21789,124712,Dequ
21790,0,Recv
21837,124712,Enqu
21920,125760,Enqu
21956,125760,Dequ
21957,0,Recv
22003,125760,Enqu
22086,126808,Enqu
22123,126808,Dequ
22124,0,Recv
22169,126808,Enqu
22252,127856,Enqu
22290,127856,Dequ
22291,0,Recv
22335,127856,Enqu
22418,128904,Enqu
22457,128904,Dequ
22458,0,Recv
22501,128904,Enqu
22624,128904,Dequ
22625,0,Recv
22791,127856,Dequ
22792,0,Recv
22958,126808,Dequ
22959,0,Recv
23125,125760,Dequ
23126,0,Recv
23292,124712,Dequ
23293,0,Recv
23459,123664,Dequ
23460,0,Recv
23626,122616,Dequ
23627,0,Recv
23793,121568,Dequ
23794,0,Recv
23960,120520,Dequ
23961,0,Recv
24127,119472,Dequ
24128,0,Recv
24294,118424,Dequ
24295,0,Recv
24461,117376,Dequ
24462,0,Recv
24628,116328,Dequ
24629,0,Recv
24795,115280,Dequ
24796,0,Recv
24962,114232,Dequ
24963,0,Recv
25129,113184,Dequ
25130,0,Recv
25296,112136,Dequ
25297,0,Recv
25463,111088,Dequ
25464,0,Recv
25630,110040,Dequ
25631,0,Recv
25797,108992,Dequ
25798,0,Recv
25964,107944,Dequ
25965,0,Recv
26131,106896,Dequ
26132,0,Recv
26298,105848,Dequ
26299,0,Recv
26465,104800,Dequ
26466,0,Recv
26632,103752,Dequ
26633,0,Recv
26799,102704,Dequ
26800,0,Recv
26966,101656,Dequ
26967,0,Recv
27133,100608,Dequ
27134,0,Recv
27300,99560,Dequ
27301,0,Recv
27467,98512,Dequ
27468,0,Recv
27634,97464,Dequ
27635,0,Recv
27801,96416,Dequ
27802,0,Recv
27968,95368,Dequ
27969,0,Recv
28135,94320,Dequ
28136,0,Recv
28302,93272,Dequ
28303,0,Recv
28469,92224,Dequ
28470,0,Recv
28636,91176,Dequ
28637,0,Recv
28803,90128,Dequ
28804,0,Recv
28970,89080,Dequ
28971,0,Recv
29137,88032,Dequ
29138,0,Recv
29304,86984,Dequ
29305,0,Recv
29471,85936,Dequ
29472,0,Recv
29638,84888,Dequ
29639,0,Recv
29805,83840,Dequ
29806,0,Recv
29972,82792,Dequ
29973,0,Recv
30139,81744,Dequ
30140,0,Recv
30306,80696,Dequ
30307,0,Recv
30473,79648,Dequ
30474,0,Recv
30640,78600,Dequ
30641,0,Recv
30807,77552,Dequ
30808,0,Recv
30974,76504,Dequ
30975,0,Recv
31052,76504,Enqu
31135,77552,Enqu
31141,77552,Dequ
31142,0,Recv
31218,77552,Enqu
31301,78600,Enqu
31308,78600,Dequ
31309,0,Recv
31384,78600,Enqu
31467,79648,Enqu
31475,79648,Dequ
31476,0,Recv
31550,79648,Enqu
31633,80696,Enqu
31642,80696,Dequ
31643,0,Recv
31716,80696,Enqu
31799,81744,Enqu
31809,81744,Dequ
31810,0,Recv
31882,81744,Enqu
31965,82792,Enqu
31976,82792,Dequ
31977,0,Recv
32048,82792,Enqu
32131,83840,Enqu
32143,83840,Dequ
32144,0,Recv
32214,83840,Enqu
32297,84888,Enqu
32310,84888,Dequ
32311,0,Recv
32380,84888,Enqu
32463,85936,Enqu
32477,85936,Dequ
32478,0,Recv
32546,85936,Enqu
32629,86984,Enqu
32644,86984,Dequ
32645,0,Recv
32712,86984,Enqu
32795,88032,Enqu
32811,88032,Dequ
32812,0,Recv
32878,88032,Enqu
32961,89080,Enqu
32978,89080,Dequ
32979,0,Recv
33044,89080,Enqu
33127,90128,Enqu
33145,90128,Dequ
33146,0,Recv
33210,90128,Enqu
33293,91176,Enqu
33312,91176,Dequ
33313,0,Recv
33376,91176,Enqu
33459,92224,Enqu
33479,92224,Dequ
33480,0,Recv
33542,92224,Enqu
33625,93272,Enqu
33646,93272,Dequ
33647,0,Recv
33708,93272,Enqu
33791,94320,Enqu
33813,94320,Dequ
33814,0,Recv
33874,94320,Enqu
33957,95368,Enqu
33980,95368,Dequ
33981,0,Recv
34040,95368,Enqu
34123,96416,Enqu
34147,96416,Dequ
34148,0,Recv
34206,96416,Enqu
34289,97464,Enqu
34314,97464,Dequ
34315,0,Recv
34372,97464,Enqu
34455,98512,Enqu
34481,98512,Dequ
34482,0,Recv
34538,98512,Enqu
34621,99560,Enqu
34648,99560,Dequ
34649,0,Recv
34704,99560,Enqu
34787,100608,Enqu
34815,100608,Dequ
34816,0,Recv
34870,100608,Enqu
34953,101656,Enqu
34982,101656,Dequ
34983,0,Recv
35036,101656,Enqu
35119,102704,Enqu
35149,102704,Dequ
35150,0,Recv
35202,102704,Enqu
35285,103752,Enqu
