time_us,node,port,throughput_gbps,utilization_pct
0.083,0,1,101.01204819277109,100.0
0.166,0,1,101.01204819277109,100.0
0.249,0,1,101.01204819277109,100.0
0.332,0,1,101.01204819277109,100.0
0.415,0,1,101.01204819277109,100.0
0.498,0,1,101.01204819277109,100.0
0.581,0,1,101.01204819277109,100.0
0.664,0,1,101.01204819277109,100.0
0.747,0,1,101.01204819277109,100.0
0.83,0,1,101.01204819277109,100.0
0.913,0,1,101.01204819277109,100.0
0.996,0,1,101.01204819277109,100.0
1.079,0,1,101.01204819277109,100.0
1.162,0,1,101.01204819277109,100.0
1.245,0,1,101.01204819277109,100.0
1.328,0,1,101.01204819277109,100.0
1.411,0,1,101.01204819277109,100.0
1.494,0,1,101.01204819277109,100.0
1.577,0,1,101.01204819277109,100.0
1.66,0,1,101.01204819277109,100.0
1.743,0,1,101.01204819277109,100.0
1.826,0,1,101.01204819277109,100.0
1.909,0,1,101.01204819277109,100.0
1.992,0,1,101.01204819277109,100.0
2.075,0,1,101.01204819277109,100.0
2.158,0,1,101.01204819277109,100.0
2.241,0,1,101.01204819277109,100.0
2.324,0,1,101.01204819277109,100.0
2.407,0,1,101.01204819277109,100.0
2.49,0,1,101.01204819277109,100.0
2.573,0,1,101.01204819277109,100.0
2.656,0,1,101.01204819277109,100.0
2.739,0,1,101.01204819277109,100.0
2.822,0,1,101.01204819277109,100.0
2.905,0,1,101.01204819277109,100.0
2.988,0,1,101.01204819277109,100.0
3.071,0,1,101.01204819277109,100.0
3.154,0,1,101.01204819277109,100.0
3.237,0,1,101.01204819277109,100.0
3.32,0,1,101.01204819277109,100.0
3.403,0,1,101.01204819277109,100.0
3.486,0,1,101.01204819277109,100.0
3.569,0,1,101.01204819277109,100.0
3.652,0,1,101.01204819277109,100.0
3.735,0,1,101.01204819277109,100.0
3.818,0,1,101.01204819277109,100.0
3.901,0,1,101.01204819277109,100.0
3.984,0,1,101.01204819277109,100.0
4.067,0,1,101.01204819277109,100.0
4.15,0,1,101.01204819277109,100.0
4.233,0,1,101.01204819277109,100.0
4.316,0,1,101.01204819277109,100.0
4.399,0,1,101.01204819277109,100.0
4.482,0,1,101.01204819277109,100.0
4.565,0,1,101.01204819277109,100.0
4.648,0,1,101.01204819277109,100.0
4.731,0,1,101.01204819277109,100.0
4.814,0,1,101.01204819277109,100.0
4.897,0,1,101.01204819277109,100.0
4.98,0,1,101.01204819277109,100.0
5.063,0,1,101.01204819277109,100.0
5.146,0,1,101.01204819277109,100.0
5.229,0,1,101.01204819277109,100.0
5.312,0,1,101.01204819277109,100.0
5.395,0,1,101.01204819277109,100.0
5.478,0,1,101.01204819277109,100.0
5.561,0,1,101.01204819277109,100.0
5.644,0,1,101.01204819277109,100.0
5.727,0,1,101.01204819277109,100.0
5.81,0,1,101.01204819277109,100.0
5.893,0,1,101.01204819277109,100.0
5.976,0,1,101.01204819277109,100.0
6.059,0,1,101.01204819277109,100.0
6.142,0,1,101.01204819277109,100.0
6.225,0,1,101.01204819277109,100.0
6.308,0,1,101.01204819277109,100.0
6.391,0,1,101.01204819277109,100.0
6.474,0,1,101.01204819277109,100.0
6.557,0,1,101.01204819277109,100.0
6.64,0,1,101.01204819277109,100.0
6.723,0,1,101.01204819277109,100.0
6.806,0,1,101.01204819277109,100.0
6.889,0,1,101.01204819277109,100.0
6.972,0,1,101.01204819277109,100.0
7.055,0,1,101.01204819277109,100.0
7.138,0,1,101.01204819277109,100.0
7.221,0,1,101.01204819277109,100.0
7.304,0,1,101.01204819277109,100.0
7.387,0,1,101.01204819277109,100.0
7.47,0,1,101.01204819277109,100.0
7.553,0,1,101.01204819277109,100.0
7.636,0,1,101.01204819277109,100.0
7.719,0,1,101.01204819277109,100.0
7.802,0,1,101.01204819277109,100.0
7.885,0,1,101.01204819277109,100.0
7.968,0,1,101.01204819277109,100.0
8.051,0,1,101.01204819277109,100.0
8.134,0,1,101.01204819277109,100.0
8.217,0,1,101.01204819277109,100.0
8.3,0,1,101.01204819277109,100.0
8.383,0,1,101.01204819277109,100.0
8.466,0,1,101.01204819277109,100.0
8.549,0,1,101.01204819277109,100.0
8.632,0,1,101.01204819277109,100.0
29.816,0,1,0.3957703927492447,0.39577039274924464
29.899,0,1,101.01204819277109,100.0
29.982,0,1,101.01204819277109,100.0
30.065,0,1,101.01204819277109,100.0
30.148,0,1,101.01204819277109,100.0
30.231,0,1,101.01204819277109,100.0
30.314,0,1,101.01204819277109,100.0
30.397,0,1,101.01204819277109,100.0
30.48,0,1,101.01204819277109,100.0
30.563,0,1,101.01204819277109,100.0
30.646,0,1,101.01204819277109,100.0
30.729,0,1,101.01204819277109,100.0
30.812,0,1,101.01204819277109,100.0
30.895,0,1,101.01204819277109,100.0
30.978,0,1,101.01204819277109,100.0
31.061,0,1,101.01204819277109,100.0
31.144,0,1,101.01204819277109,100.0
31.227,0,1,101.01204819277109,100.0
31.31,0,1,101.01204819277109,100.0
31.393,0,1,101.01204819277109,100.0
31.476,0,1,101.01204819277109,100.0
31.559,0,1,101.01204819277109,100.0
31.642,0,1,101.01204819277109,100.0
31.725,0,1,101.01204819277109,100.0
31.808,0,1,101.01204819277109,100.0
31.891,0,1,101.01204819277109,100.0
31.974,0,1,101.01204819277109,100.0
32.057,0,1,101.01204819277109,100.0
32.14,0,1,101.01204819277109,100.0
32.223,0,1,101.01204819277109,100.0
32.306,0,1,101.01204819277109,100.0
32.389,0,1,101.01204819277109,100.0
32.472,0,1,101.01204819277109,100.0
32.555,0,1,101.01204819277109,100.0
32.638,0,1,101.01204819277109,100.0
32.721,0,1,101.01204819277109,100.0
32.804,0,1,101.01204819277109,100.0
32.887,0,1,101.01204819277109,100.0
32.97,0,1,101.01204819277109,100.0
33.053,0,1,101.01204819277109,100.0
33.136,0,1,101.01204819277109,100.0
33.219,0,1,101.01204819277109,100.0
33.302,0,1,101.01204819277109,100.0
33.385,0,1,101.01204819277109,100.0
33.468,0,1,101.01204819277109,100.0
33.551,0,1,101.01204819277109,100.0
33.634,0,1,101.01204819277109,100.0
33.717,0,1,101.01204819277109,100.0
33.8,0,1,101.01204819277109,100.0
33.883,0,1,101.01204819277109,100.0
33.966,0,1,101.01204819277109,100.0
34.049,0,1,101.01204819277109,100.0
34.132,0,1,101.01204819277109,100.0
34.215,0,1,101.01204819277109,100.0
34.298,0,1,101.01204819277109,100.0
34.381,0,1,101.01204819277109,100.0
34.464,0,1,101.01204819277109,100.0
34.547,0,1,101.01204819277109,100.0
34.63,0,1,101.01204819277109,100.0
34.713,0,1,101.01204819277109,100.0
34.796,0,1,101.01204819277109,100.0
34.879,0,1,101.01204819277109,100.0
34.962,0,1,101.01204819277109,100.0
35.045,0,1,101.01204819277109,100.0
56.127,0,1,0.397685229105398,0.397685229105398
56.21,0,1,101.01204819277109,100.0
56.293,0,1,101.01204819277109,100.0
56.376,0,1,101.01204819277109,100.0
56.459,0,1,101.01204819277109,100.0
56.542,0,1,101.01204819277109,100.0
56.625,0,1,101.01204819277109,100.0
56.708,0,1,101.01204819277109,100.0
56.791,0,1,101.01204819277109,100.0
56.874,0,1,101.01204819277109,100.0
56.957,0,1,101.01204819277109,100.0
57.04,0,1,101.01204819277109,100.0
57.123,0,1,101.01204819277109,100.0
57.206,0,1,101.01204819277109,100.0
57.289,0,1,101.01204819277109,100.0
57.372,0,1,101.01204819277109,100.0
57.455,0,1,101.01204819277109,100.0
57.538,0,1,101.01204819277109,100.0
57.621,0,1,101.01204819277109,100.0
57.704,0,1,101.01204819277109,100.0
57.787,0,1,101.01204819277109,100.0
57.87,0,1,101.01204819277109,100.0
57.953,0,1,101.01204819277109,100.0
58.036,0,1,101.01204819277109,100.0
58.119,0,1,101.01204819277109,100.0
58.202,0,1,101.01204819277109,100.0
58.285,0,1,101.01204819277109,100.0
58.368,0,1,101.01204819277109,100.0
58.451,0,1,101.01204819277109,100.0
58.534,0,1,101.01204819277109,100.0
58.617,0,1,101.01204819277109,100.0
58.7,0,1,101.01204819277109,100.0
58.783,0,1,101.01204819277109,100.0
58.866,0,1,101.01204819277109,100.0
58.949,0,1,101.01204819277109,100.0
59.032,0,1,101.01204819277109,100.0
59.115,0,1,101.01204819277109,100.0
59.198,0,1,101.01204819277109,100.0
59.281,0,1,101.01204819277109,100.0
59.364,0,1,101.01204819277109,100.0
59.447,0,1,101.01204819277109,100.0
59.53,0,1,101.01204819277109,100.0
59.613,0,1,101.01204819277109,100.0
59.696,0,1,101.01204819277109,100.0
59.779,0,1,101.01204819277109,100.0
59.862,0,1,101.01204819277109,100.0
59.945,0,1,101.01204819277109,100.0
60.028,0,1,101.01204819277109,100.0
60.111,0,1,101.01204819277109,100.0
60.194,0,1,101.01204819277109,100.0
60.277,0,1,101.01204819277109,100.0
60.36,0,1,101.01204819277109,100.0
60.443,0,1,101.01204819277109,100.0
60.526,0,1,101.01204819277109,100.0
60.609,0,1,101.01204819277109,100.0
60.692,0,1,101.01204819277109,100.0
60.775,0,1,101.01204819277109,100.0
60.858,0,1,101.01204819277109,100.0
60.941,0,1,101.01204819277109,100.0
61.024,0,1,101.01204819277109,100.0
61.107,0,1,101.01204819277109,100.0
61.19,0,1,101.01204819277109,100.0
61.273,0,1,101.01204819277109,100.0
61.356,0,1,101.01204819277109,100.0
61.439,0,1,101.01204819277109,100.0
61.522,0,1,101.01204819277109,100.0
82.355,0,1,0.40243843901502424,0.40243843901502424
82.438,0,1,101.01204819277109,100.0
82.521,0,1,101.01204819277109,100.0
82.604,0,1,101.01204819277109,100.0
82.687,0,1,101.01204819277109,100.0
82.77,0,1,101.01204819277109,100.0
82.853,0,1,101.01204819277109,100.0
82.936,0,1,101.01204819277109,100.0
83.019,0,1,101.01204819277109,100.0
83.102,0,1,101.01204819277109,100.0
83.185,0,1,101.01204819277109,100.0
83.268,0,1,101.01204819277109,100.0
83.351,0,1,101.01204819277109,100.0
83.434,0,1,101.01204819277109,100.0
83.517,0,1,101.01204819277109,100.0
83.6,0,1,101.01204819277109,100.0
83.683,0,1,101.01204819277109,100.0
83.766,0,1,101.01204819277109,100.0
83.849,0,1,101.01204819277109,100.0
83.932,0,1,101.01204819277109,100.0
84.015,0,1,101.01204819277109,100.0
84.098,0,1,101.01204819277109,100.0
84.181,0,1,101.01204819277109,100.0
84.264,0,1,101.01204819277109,100.0
84.347,0,1,101.01204819277109,100.0
84.43,0,1,101.01204819277109,100.0
84.513,0,1,101.01204819277109,100.0
84.596,0,1,101.01204819277109,100.0
84.679,0,1,101.01204819277109,100.0
84.762,0,1,101.01204819277109,100.0
84.845,0,1,101.01204819277109,100.0
84.928,0,1,101.01204819277109,100.0
85.011,0,1,101.01204819277109,100.0
85.094,0,1,101.01204819277109,100.0
85.177,0,1,101.01204819277109,100.0
85.26,0,1,101.01204819277109,100.0
85.343,0,1,101.01204819277109,100.0
85.426,0,1,101.01204819277109,100.0
85.509,0,1,101.01204819277109,100.0
85.592,0,1,101.01204819277109,100.0
85.675,0,1,101.01204819277109,100.0
85.758,0,1,101.01204819277109,100.0
85.841,0,1,101.01204819277109,100.0
85.924,0,1,101.01204819277109,100.0
86.007,0,1,101.01204819277109,100.0
86.09,0,1,101.01204819277109,100.0
86.173,0,1,101.01204819277109,100.0
86.256,0,1,101.01204819277109,100.0
86.339,0,1,101.01204819277109,100.0
86.422,0,1,101.01204819277109,100.0
86.505,0,1,101.01204819277109,100.0
86.588,0,1,101.01204819277109,100.0
86.671,0,1,101.01204819277109,100.0
86.754,0,1,101.01204819277109,100.0
86.837,0,1,101.01204819277109,100.0
86.92,0,1,101.01204819277109,100.0
87.003,0,1,101.01204819277109,100.0
87.086,0,1,101.01204819277109,100.0
87.169,0,1,101.01204819277109,100.0
87.252,0,1,101.01204819277109,100.0
87.335,0,1,101.01204819277109,100.0
87.418,0,1,101.01204819277109,100.0
87.501,0,1,101.01204819277109,100.0
87.584,0,1,101.01204819277109,100.0
87.667,0,1,101.01204819277109,100.0
87.75,0,1,101.01204819277109,100.0
87.833,0,1,101.01204819277109,100.0
87.916,0,1,101.01204819277109,100.0
107.67,0,1,0.4244203705578617,0.42442037055786164
107.753,0,1,101.01204819277109,100.0
107.836,0,1,101.01204819277109,100.0
107.919,0,1,101.01204819277109,100.0
108.002,0,1,101.01204819277109,100.0
108.085,0,1,101.01204819277109,100.0
108.168,0,1,101.01204819277109,100.0
108.251,0,1,101.01204819277109,100.0
108.334,0,1,101.01204819277109,100.0
108.417,0,1,101.01204819277109,100.0
108.5,0,1,101.01204819277109,100.0
108.583,0,1,101.01204819277109,100.0
108.666,0,1,101.01204819277109,100.0
108.749,0,1,101.01204819277109,100.0
108.832,0,1,101.01204819277109,100.0
108.915,0,1,101.01204819277109,100.0
108.998,0,1,101.01204819277109,100.0
109.081,0,1,101.01204819277109,100.0
109.164,0,1,101.01204819277109,100.0
109.247,0,1,101.01204819277109,100.0
109.33,0,1,101.01204819277109,100.0
109.413,0,1,101.01204819277109,100.0
109.496,0,1,101.01204819277109,100.0
