node,port,enqueue_count,dequeue_count,drop_count,total_tx_bytes,total_rx_bytes
0,1,0,3000,0,3144000,181118
1,1,0,900,0,943200,54946
2,1,0,900,0,943200,54946
3,1,0,900,0,943200,54946
4,1,0,900,0,943200,54946
6,1,3026,3026,0,181118,3144000
6,6,6600,6600,0,6916800,396000
6,2,922,922,0,54946,943200
6,3,922,922,0,54946,943200
6,4,922,922,0,54946,943200
6,5,922,922,0,54946,943200
5,1,6600,6600,0,396000,6916800
