# Link Utilization Monitor
# Format: time: <timestamp_ns>
# node_id port_id tx_bytes_total tx_throughput_Gbps tx_util_percent
time: 2000000000
time: 2000100000
10 1 435060 4.4688 4.47
10 2 4976816 50.2534 50.25
10 3 4976816 50.1456 50.15
10 4 0 0.0000 0.00
11 1 218880 2.2320 2.23
11 2 4956596 50.1456 100.00
12 1 218400 2.2320 2.23
12 2 4944464 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2000900000
0 1 0 0.0000 0.00
1 1 5642728 50.2534 100.00
2 1 5642728 50.2534 100.00
3 1 247140 2.2320 2.23
4 1 247620 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 11246364 100.3990 100.00
9 2 244080 2.2320 4.46
9 3 245100 2.2320 4.46
10 1 490860 4.4640 4.46
10 2 5603636 50.1456 50.15
10 3 5603636 50.1456 50.15
10 4 0 0.0000 0.00
11 1 246780 2.2320 2.23
11 2 5583416 50.1456 100.00
12 1 246300 2.2320 2.23
12 2 5571284 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2001000000
0 1 0 0.0000 0.00
1 1 6269548 50.1456 100.00
2 1 6269548 50.1456 100.00
3 1 275040 2.2320 2.23
4 1 275520 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 12500004 100.2912 100.00
9 2 271980 2.2320 4.46
9 3 273000 2.2320 4.46
10 1 546660 4.4640 4.46
10 2 6230456 50.1456 50.15
10 3 6230456 50.1456 50.15
10 4 0 0.0000 0.00
11 1 274680 2.2320 2.23
11 2 6210236 50.1456 100.00
12 1 274200 2.2320 2.23
12 2 6199452 50.2534 50.25
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2001100000
0 1 0 0.0000 0.00
1 1 6896368 50.1456 100.00
2 1 6896368 50.1456 100.00
3 1 302940 2.2320 2.23
4 1 303420 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 13753644 100.2912 100.00
9 2 299880 2.2320 4.46
9 3 300960 2.2368 4.47
10 1 602520 4.4688 4.47
10 2 6857276 50.1456 50.15
10 3 6857276 50.1456 50.15
10 4 0 0.0000 0.00
11 1 302580 2.2320 2.23
11 2 6837056 50.1456 100.00
12 1 302100 2.2320 2.23
12 2 6826272 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2001200000
0 1 0 0.0000 0.00
1 1 7523188 50.1456 100.00
2 1 7523188 50.1456 100.00
3 1 330840 2.2320 2.23
4 1 331380 2.2368 4.47
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 15007284 100.2912 100.00
9 2 327780 2.2320 4.46
9 3 328860 2.2320 4.46
10 1 658320 4.4640 4.46
10 2 7484096 50.1456 50.15
10 3 7484096 50.1456 50.15
10 4 0 0.0000 0.00
11 1 330540 2.2368 2.24
11 2 7465224 50.2534 100.00
12 1 330000 2.2320 2.23
12 2 7453092 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2001300000
0 1 0 0.0000 0.00
1 1 8150008 50.1456 100.00
2 1 8150008 50.1456 100.00
3 1 358740 2.2320 2.23
4 1 359280 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 16262272 100.3990 100.00
9 2 355680 2.2320 4.46
9 3 356760 2.2320 4.46
10 1 714120 4.4640 4.46
10 2 8110916 50.1456 50.15
10 3 8112264 50.2534 50.25
10 4 0 0.0000 0.00
11 1 358440 2.2320 2.23
11 2 8092044 50.1456 100.00
12 1 357900 2.2320 2.23
12 2 8079912 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2001400000
0 1 0 0.0000 0.00
1 1 8776828 50.1456 100.00
2 1 8776828 50.1456 100.00
3 1 386640 2.2320 2.23
4 1 387180 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 17515912 100.2912 100.00
9 2 383580 2.2320 4.46
9 3 384660 2.2320 4.46
10 1 769920 4.4640 4.46
10 2 8737736 50.1456 50.15
10 3 8739084 50.1456 50.15
10 4 0 0.0000 0.00
11 1 386340 2.2320 2.23
11 2 8718864 50.1456 100.00
12 1 385860 2.2368 2.24
12 2 8706732 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2001500000
0 1 0 0.0000 0.00
1 1 9403648 50.1456 100.00
2 1 9403648 50.1456 100.00
3 1 414600 2.2368 2.24
4 1 415080 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 18769552 100.2912 100.00
9 2 411480 2.2320 4.46
9 3 412560 2.2320 4.46
10 1 825720 4.4640 4.46
10 2 9364556 50.1456 50.15
10 3 9365904 50.1456 50.15
10 4 0 0.0000 0.00
11 1 414240 2.2320 2.23
11 2 9345684 50.1456 100.00
12 1 413760 2.2320 2.23
12 2 9333552 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2001600000
0 1 0 0.0000 0.00
1 1 10030468 50.1456 100.00
2 1 10030468 50.1456 100.00
3 1 442500 2.2320 2.23
4 1 442980 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 20023192 100.2912 100.00
9 2 439440 2.2368 4.47
9 3 440460 2.2320 4.46
10 1 881580 4.4688 4.47
10 2 9991376 50.1456 50.15
10 3 9992724 50.1456 50.15
10 4 0 0.0000 0.00
11 1 442140 2.2320 2.23
11 2 9972504 50.1456 100.00
12 1 441660 2.2320 2.23
12 2 9960372 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2001700000
0 1 0 0.0000 0.00
1 1 10657288 50.1456 100.00
2 1 10657288 50.1456 100.00
3 1 470400 2.2320 2.23
4 1 470880 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 21278180 100.3990 100.00
9 2 467340 2.2320 4.46
9 3 468360 2.2320 4.46
10 1 937380 4.4640 4.46
10 2 10619544 50.2534 50.25
10 3 10619544 50.1456 50.15
10 4 0 0.0000 0.00
11 1 470040 2.2320 2.23
11 2 10599324 50.1456 100.00
12 1 469560 2.2320 2.23
12 2 10587192 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2001800000
0 1 0 0.0000 0.00
1 1 11285456 50.2534 100.00
2 1 11285456 50.2534 100.00
3 1 498300 2.2320 2.23
4 1 498780 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 22531820 100.2912 100.00
9 2 495240 2.2320 4.46
9 3 496260 2.2320 4.46
10 1 993180 4.4640 4.46
10 2 11246364 50.1456 50.15
10 3 11246364 50.1456 50.15
10 4 0 0.0000 0.00
11 1 497940 2.2320 2.23
11 2 11226144 50.1456 100.00
12 1 497460 2.2320 2.23
12 2 11214012 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2001900000
0 1 0 0.0000 0.00
1 1 11912276 50.1456 100.00
2 1 11912276 50.1456 100.00
3 1 526200 2.2320 2.23
4 1 526680 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 23785460 100.2912 100.00
9 2 523140 2.2320 4.46
9 3 524160 2.2320 4.46
10 1 1048980 4.4640 4.46
10 2 11873184 50.1456 50.15
10 3 11873184 50.1456 50.15
10 4 0 0.0000 0.00
11 1 525840 2.2320 2.23
11 2 11852964 50.1456 100.00
12 1 525360 2.2320 2.23
12 2 11842180 50.2534 50.25
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2002000000
0 1 0 0.0000 0.00
1 1 12539096 50.1456 100.00
2 1 12539096 50.1456 100.00
3 1 554100 2.2320 2.23
4 1 554580 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 25039100 100.2912 100.00
9 2 551040 2.2320 4.46
9 3 552120 2.2368 4.47
10 1 1104840 4.4688 4.47
10 2 12500004 50.1456 50.15
10 3 12500004 50.1456 50.15
10 4 0 0.0000 0.00
11 1 553800 2.2368 2.24
11 2 12479784 50.1456 100.00
12 1 553260 2.2320 2.23
12 2 12469000 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2002100000
0 1 0 0.0000 0.00
1 1 13165916 50.1456 100.00
2 1 13165916 50.1456 100.00
3 1 582000 2.2320 2.23
4 1 582540 2.2368 4.47
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 26292740 100.2912 100.00
9 2 578940 2.2320 4.46
9 3 580020 2.2320 4.46
10 1 1160640 4.4640 4.46
10 2 13126824 50.1456 50.15
10 3 13128172 50.2534 50.25
10 4 0 0.0000 0.00
11 1 581700 2.2320 2.23
11 2 13107952 50.2534 100.00
12 1 581160 2.2320 2.23
12 2 13095820 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2002200000
0 1 0 0.0000 0.00
1 1 13792736 50.1456 100.00
2 1 13792736 50.1456 100.00
3 1 609900 2.2320 2.23
4 1 610440 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 27547728 100.3990 100.00
9 2 606840 2.2320 4.46
9 3 607920 2.2320 4.46
10 1 1216440 4.4640 4.46
10 2 13753644 50.1456 50.15
10 3 13754992 50.1456 50.15
10 4 0 0.0000 0.00
11 1 609600 2.2320 2.23
11 2 13734772 50.1456 100.00
12 1 609060 2.2320 2.23
12 2 13722640 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2002300000
0 1 0 0.0000 0.00
1 1 14419556 50.1456 100.00
2 1 14419556 50.1456 100.00
3 1 637860 2.2368 2.24
4 1 638340 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 28801368 100.2912 100.00
9 2 634740 2.2320 4.46
9 3 635820 2.2320 4.46
10 1 1272240 4.4640 4.46
10 2 14380464 50.1456 50.15
10 3 14381812 50.1456 50.15
10 4 0 0.0000 0.00
11 1 637500 2.2320 2.23
11 2 14361592 50.1456 100.00
12 1 637020 2.2368 2.24
12 2 14349460 50.1456 50.15
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2002400000
0 1 0 0.0000 0.00
1 1 15046376 50.1456 100.00
2 1 15046376 50.1456 100.00
3 1 665760 2.2320 2.23
4 1 666240 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 30055008 100.2912 100.00
9 2 662640 2.2320 4.46
9 3 663720 2.2320 4.46
10 1 1328040 4.4640 4.46
